Latitude (decimal degrees):	47.281
Longitude (decimal degrees):	9.671
Elevation (m):	682
Radiation database:	PVGIS-CMSAF


Slope: 0
Azimuth: 0
Date,Bi,Di,Ri,As,Tamb,W10,Int.
20160104:2155,0.00,0.00,0.00,0.00,1.94,2.43,0
20160104:2255,0.00,0.00,0.00,0.00,1.18,2.48,0
20160104:2355,0.00,0.00,0.00,0.00,0.42,2.53,0
20160105:0055,0.00,0.00,0.00,0.00,-0.34,2.58,0
20160105:0155,0.00,0.00,0.00,0.00,-0.31,2.29,0
20160105:0255,0.00,0.00,0.00,0.00,-0.29,2.00,0
20160105:0355,0.00,0.00,0.00,0.00,-0.26,1.71,0
20160105:0455,0.00,0.00,0.00,0.00,-0.03,1.72,0
20160105:0555,0.00,0.00,0.00,0.00,0.20,1.73,0
20160105:0655,0.00,0.00,0.00,0.00,0.43,1.74,0
20160105:0755,0.00,34.40,0.00,5.57,1.34,1.93,0
20160105:0855,0.00,32.85,0.00,12.30,2.25,2.11,0
20160105:0955,0.00,63.30,0.00,17.17,3.16,2.30,0
20160105:1055,0.00,70.90,0.00,19.76,4.41,2.28,0
20160105:1155,2.70,119.50,0.00,19.79,5.66,2.25,0
20160105:1255,0.00,47.35,0.00,17.26,6.91,2.22,0
20160105:1355,0.50,60.80,0.00,12.45,6.94,2.10,0
20160105:1455,0.50,24.80,0.00,5.76,6.96,1.97,0
20160105:1555,0.00,0.00,0.00,0.00,6.99,1.85,0
20160105:1655,0.00,0.00,0.00,0.00,5.92,1.83,0
20160105:1755,0.00,0.00,0.00,0.00,4.85,1.80,0
20160105:1855,0.00,0.00,0.00,0.00,3.78,1.78,0
20160105:1955,0.00,0.00,0.00,0.00,3.29,1.76,0
20160105:2055,0.00,0.00,0.00,0.00,2.80,1.74,0
20160105:2155,0.00,0.00,0.00,0.00,2.31,1.72,0
20160105:2255,0.00,0.00,0.00,0.00,1.93,1.60,0
20160105:2355,0.00,0.00,0.00,0.00,1.56,1.49,0
20160106:0055,0.00,0.00,0.00,0.00,1.18,1.37,0
20160106:0155,0.00,0.00,0.00,0.00,1.11,1.56,0
20160106:0255,0.00,0.00,0.00,0.00,1.05,1.76,0
20160106:0355,0.00,0.00,0.00,0.00,0.98,1.96,0
20160106:0455,0.00,0.00,0.00,0.00,0.51,1.78,0
20160106:0555,0.00,0.00,0.00,0.00,0.04,1.60,0
20160106:0655,0.00,0.00,0.00,0.00,-0.43,1.42,0
20160106:0755,0.00,33.25,0.00,5.61,0.30,1.41,0
20160106:0855,22.61,93.65,0.00,12.36,1.04,1.40,0
20160106:0955,148.88,105.22,0.00,17.25,1.77,1.39,0
20160106:1055,112.65,149.87,0.00,19.86,3.43,1.26,0
20160106:1155,100.65,154.42,0.00,19.91,5.09,1.13,0
20160106:1255,41.22,139.86,0.00,17.40,6.75,0.99,0
20160106:1355,2.65,74.00,0.00,12.59,6.71,1.07,0
20160106:1455,0.75,26.95,0.00,5.91,6.67,1.15,0
20160106:1555,0.00,0.00,0.00,0.00,6.64,1.23,0
20160106:1655,0.00,0.00,0.00,0.00,5.98,1.27,0
20160106:1755,0.00,0.00,0.00,0.00,5.33,1.31,0
20160106:1855,0.00,0.00,0.00,0.00,4.67,1.35,0
20160106:1955,0.00,0.00,0.00,0.00,4.23,1.41,0
20160106:2055,0.00,0.00,0.00,0.00,3.79,1.47,0
20160106:2155,0.00,0.00,0.00,0.00,3.36,1.53,0
20160106:2255,0.00,0.00,0.00,0.00,3.15,1.60,0
20160106:2355,0.00,0.00,0.00,0.00,2.95,1.66,0
20160107:0055,0.00,0.00,0.00,0.00,2.74,1.72,0
20160107:0155,0.00,0.00,0.00,0.00,2.33,1.70,0
20160107:0255,0.00,0.00,0.00,0.00,1.92,1.67,0
20160107:0355,0.00,0.00,0.00,0.00,1.51,1.64,0
20160107:0455,0.00,0.00,0.00,0.00,0.93,1.65,0
20160107:0555,0.00,0.00,0.00,0.00,0.34,1.66,0
20160107:0655,0.00,0.00,0.00,0.00,-0.24,1.67,0
20160107:0755,0.00,34.30,0.00,5.66,0.56,2.18,0
20160107:0855,87.66,80.76,0.00,12.43,1.35,2.69,0
20160107:0955,1.50,98.90,0.00,17.34,2.15,3.20,0
20160107:1055,0.00,80.90,0.00,19.97,3.49,3.71,0
20160107:1155,0.05,89.75,0.00,20.04,4.84,4.23,0
20160107:1255,0.00,18.50,0.00,17.55,6.18,4.74,0
