Latitude (decimal degrees):	47.281
Longitude (decimal degrees):	9.671
Elevation (m):	682
Radiation database:	PVGIS-CMSAF


Slope: 0
Azimuth: 0
Date,Bi,Di,Ri,As,Tamb,W10,Int.
20160313:2255,0.00,0.00,0.00,0.00,2.26,2.17,0
20160313:2355,0.00,0.00,0.00,0.00,1.99,2.23,0
20160314:0055,0.00,0.00,0.00,0.00,1.73,2.28,0
20160314:0155,0.00,0.00,0.00,0.00,1.96,1.94,0
20160314:0255,0.00,0.00,0.00,0.00,2.20,1.60,0
20160314:0355,0.00,0.00,0.00,0.00,2.44,1.27,0
20160314:0455,0.00,0.00,0.00,0.00,2.21,1.35,0
20160314:0555,0.00,13.85,0.00,2.28,1.99,1.43,0
20160314:0655,0.00,77.15,0.00,12.22,1.76,1.50,0
20160314:0755,220.10,118.11,0.00,21.53,3.76,1.54,0
20160314:0855,344.07,144.27,0.00,29.68,5.75,1.57,0
20160314:0955,425.64,168.72,0.00,35.96,7.75,1.60,0
20160314:1055,491.30,167.52,0.00,39.58,8.99,1.54,0
20160314:1155,346.77,252.67,0.00,39.90,10.22,1.47,0
20160314:1255,328.07,230.37,0.00,36.86,11.46,1.41,0
20160314:1355,175.19,238.71,0.00,31.01,11.34,1.58,0
20160314:1455,99.82,184.06,0.00,23.15,11.21,1.75,0
20160314:1555,28.86,107.05,0.00,14.01,11.09,1.92,0
20160314:1655,11.85,22.35,0.00,4.15,9.53,2.14,0
20160314:1755,0.00,0.00,0.00,0.00,7.97,2.36,0
20160314:1855,0.00,0.00,0.00,0.00,6.41,2.58,0
20160314:1955,0.00,0.00,0.00,0.00,5.24,2.40,0
20160314:2055,0.00,0.00,0.00,0.00,4.06,2.21,0
20160314:2155,0.00,0.00,0.00,0.00,2.88,2.03,0
20160314:2255,0.00,0.00,0.00,0.00,1.92,1.92,0
20160314:2355,0.00,0.00,0.00,0.00,0.96,1.81,0
20160315:0055,0.00,0.00,0.00,0.00,-0.00,1.70,0
20160315:0155,0.00,0.00,0.00,0.00,-0.40,1.66,0
20160315:0255,0.00,0.00,0.00,0.00,-0.80,1.63,0
20160315:0355,0.00,0.00,0.00,0.00,-1.19,1.60,0
20160315:0455,0.00,0.00,0.00,0.00,-1.27,1.27,0
20160315:0555,0.00,16.10,0.00,2.62,-1.34,0.94,0
20160315:0655,0.00,72.10,0.00,12.57,-1.42,0.61,0
20160315:0755,15.05,161.50,0.00,21.89,1.34,0.79,0
20160315:0855,174.09,228.21,0.00,30.06,4.10,0.97,0
20160315:0955,362.87,202.12,0.00,36.36,6.86,1.16,0
20160315:1055,106.97,330.06,0.00,39.99,7.53,1.78,0
20160315:1155,1.55,226.55,0.00,40.29,8.19,2.40,0
20160315:1255,0.00,119.15,0.00,37.22,8.86,3.02,0
20160315:1355,0.00,49.45,0.00,31.32,7.77,2.91,0
20160315:1455,0.00,97.55,0.00,23.43,6.68,2.80,0
20160315:1555,3.30,84.80,0.00,14.27,5.59,2.69,0
20160315:1655,3.25,23.51,0.00,4.40,4.96,2.58,0
20160315:1755,0.00,0.00,0.00,0.00,4.33,2.48,0
20160315:1855,0.00,0.00,0.00,0.00,3.70,2.37,0
20160315:1955,0.00,0.00,0.00,0.00,3.18,2.34,0
20160315:2055,0.00,0.00,0.00,0.00,2.66,2.30,0
20160315:2155,0.00,0.00,0.00,0.00,2.13,2.26,0
20160315:2255,0.00,0.00,0.00,0.00,2.05,2.29,0
20160315:2355,0.00,0.00,0.00,0.00,1.96,2.31,0
20160316:0055,0.00,0.00,0.00,0.00,1.88,2.33,0
20160316:0155,0.00,0.00,0.00,0.00,1.53,2.32,0
20160316:0255,0.00,0.00,0.00,0.00,1.18,2.31,0
20160316:0355,0.00,0.00,0.00,0.00,0.83,2.30,0
20160316:0455,0.00,0.00,0.00,0.00,0.80,2.23,0
20160316:0555,0.00,10.80,0.00,2.96,0.78,2.16,0
20160316:0655,0.00,80.45,0.00,12.92,0.75,2.08,0
20160316:0755,11.30,159.75,0.00,22.25,2.37,2.61,0
20160316:0855,59.86,253.55,0.00,30.44,3.98,3.14,0
20160316:0955,271.65,255.57,0.00,36.76,5.60,3.67,0
20160316:1055,282.56,287.17,0.00,40.39,7.07,3.58,0
20160316:1155,492.95,175.57,0.00,40.68,8.54,3.49,0
20160316:1255,88.37,314.91,0.00,37.57,10.01,3.41,0
20160316:1355,7.10,211.85,0.00,31.64,10.10,3.26,0
20160316:1455,1.45,135.20,0.00,23.71,10.19,3.12,0
20160316:1555,4.85,92.35,0.00,14.53,10.28,2.98,0
20160316:1655,0.00,13.80,0.00,4.64,8.82,2.92,0
20160316:1755,0.00,0.00,0.00,0.00,7.35,2.87,0
20160316:1855,0.00,0.00,0.00,0.00,5.89,2.81,0
20160316:1955,0.00,0.00,0.00,0.00,4.79,2.82,0
20160316:2055,0.00,0.00,0.00,0.00,3.69,2.82,0
20160316:2155,0.00,0.00,0.00,0.00,2.59,2.83,0
20160316:2255,0.00,0.00,0.00,0.00,2.32,2.72,0
20160316:2355,0.00,0.00,0.00,0.00,2.05,2.61,0
20160317:0055,0.00,0.00,0.00,0.00,1.79,2.50,0
20160317:0155,0.00,0.00,0.00,0.00,1.64,2.47,0
20160317:0255,0.00,0.00,0.00,0.00,1.49,2.45,0
20160317:0355,0.00,0.00,0.00,0.00,1.35,2.43,0
20160317:0455,0.00,0.00,0.00,0.00,1.25,2.33,0
20160317:0555,0.00,21.20,0.00,3.30,1.16,2.23,0
20160317:0655,0.00,82.35,0.00,13.26,1.07,2.14,0
20160317:0755,235.05,121.71,0.00,22.62,3.84,2.06,0
20160317:0855,359.97,146.97,0.00,30.82,6.62,1.99,0
20160317:0955,456.04,162.27,0.00,37.15,9.39,1.92,0
20160317:1055,505.50,169.37,0.00,40.79,10.68,1.48,0
20160317:1155,508.75,169.77,0.00,41.06,11.97,1.03,0
20160317:1255,461.89,163.32,0.00,37.92,13.26,0.59,0
20160317:1355,369.12,148.92,0.00,31.95,13.16,0.61,0
20160317:1455,248.10,125.11,0.00,23.99,13.07,0.63,0
20160317:1555,117.88,87.96,0.00,14.78,12.97,0.65,0
20160317:1655,15.70,26.21,0.00,4.88,11.45,1.22,0
20160317:1755,0.00,0.00,0.00,0.00,9.92,1.79,0
20160317:1855,0.00,0.00,0.00,0.00,8.40,2.36,0
20160317:1955,0.00,0.00,0.00,0.00,7.06,1.89,0
20160317:2055,0.00,0.00,0.00,0.00,5.72,1.43,0
20160317:2155,0.00,0.00,0.00,0.00,4.38,0.97,0
20160317:2255,0.00,0.00,0.00,0.00,3.18,1.07,0
20160317:2355,0.00,0.00,0.00,0.00,1.97,1.18,0
20160318:0055,0.00,0.00,0.00,0.00,0.77,1.28,0
20160318:0155,0.00,0.00,0.00,0.00,0.77,1.07,0
20160318:0255,0.00,0.00,0.00,0.00,0.78,0.86,0
20160318:0355,0.00,0.00,0.00,0.00,0.79,0.65,0
20160318:0455,0.00,0.00,0.00,0.00,0.56,0.51,0
20160318:0555,0.00,23.65,0.00,3.64,0.34,0.37,0
20160318:0655,0.00,84.10,0.00,13.61,0.12,0.23,0
20160318:0755,241.15,123.01,0.00,22.98,3.79,0.46,0
20160318:0855,366.67,148.01,0.00,31.20,7.45,0.69,0
20160318:0955,462.94,163.17,0.00,37.55,11.12,0.91,0
20160318:1055,517.75,170.57,0.00,41.19,12.05,1.37,0
20160318:1155,520.75,170.97,0.00,41.45,12.99,1.82,0
20160318:1255,473.14,164.52,0.00,38.28,13.92,2.28,0
20160318:1355,380.37,150.37,0.00,32.27,13.81,2.43,0
20160318:1455,257.30,126.66,0.00,24.27,13.70,2.59,0
20160318:1555,124.38,89.76,0.00,15.04,13.59,2.74,0
20160318:1655,18.10,27.52,0.00,5.13,12.02,2.67,0
20160318:1755,0.00,0.00,0.00,0.00,10.45,2.60,0
20160318:1855,0.00,0.00,0.00,0.00,8.88,2.52,0
20160318:1955,0.00,0.00,0.00,0.00,8.33,1.92,0
20160318:2055,0.00,0.00,0.00,0.00,7.77,1.32,0
20160318:2155,0.00,0.00,0.00,0.00,7.21,0.72,0
20160318:2255,0.00,0.00,0.00,0.00,6.00,0.65,0
20160318:2355,0.00,0.00,0.00,0.00,4.79,0.59,0
20160319:0055,0.00,0.00,0.00,0.00,3.58,0.52,0
20160319:0155,0.00,0.00,0.00,0.00,3.20,0.48,0
20160319:0255,0.00,0.00,0.00,0.00,2.82,0.43,0
20160319:0355,0.00,0.00,0.00,0.00,2.45,0.39,0
20160319:0455,0.00,0.00,0.00,0.00,2.24,0.40,0
20160319:0555,0.00,26.10,0.00,3.98,2.04,0.42,0
20160319:0655,0.00,85.75,0.00,13.96,1.84,0.44,0
20160319:0755,245.85,124.11,0.00,23.34,4.94,0.47,0
20160319:0855,371.47,148.86,0.00,31.58,8.03,0.50,0
20160319:0955,467.64,163.87,0.00,37.95,11.13,0.52,0
20160319:1055,520.60,171.07,0.00,41.59,12.17,0.94,0
20160319:1155,523.35,171.42,0.00,41.84,13.20,1.36,0
20160319:1255,475.59,164.97,0.00,38.63,14.24,1.78,0
20160319:1355,382.62,150.77,0.00,32.58,14.11,2.00,0
20160319:1455,259.55,127.26,0.00,24.55,13.99,2.21,0
20160319:1555,126.53,90.66,0.00,15.29,13.86,2.43,0
20160319:1655,19.35,28.69,0.00,5.37,12.22,2.28,0
20160319:1755,0.00,0.00,0.00,0.00,10.58,2.13,0
20160319:1855,0.00,0.00,0.00,0.00,8.94,1.99,0
20160319:1955,0.00,0.00,0.00,0.00,7.67,1.55,0
20160319:2055,0.00,0.00,0.00,0.00,6.39,1.12,0
20160319:2155,0.00,0.00,0.00,0.00,5.11,0.69,0
20160319:2255,0.00,0.00,0.00,0.00,4.25,0.67,0
20160319:2355,0.00,0.00,0.00,0.00,3.38,0.64,0
20160320:0055,0.00,0.00,0.00,0.00,2.52,0.62,0
20160320:0155,0.00,0.00,0.00,0.00,2.24,0.80,0
20160320:0255,0.00,0.00,0.00,0.00,1.96,0.97,0
20160320:0355,0.00,0.00,0.00,0.00,1.69,1.14,0
20160320:0455,0.00,0.00,0.00,0.00,1.32,1.26,0
20160320:0555,0.00,28.40,0.00,4.32,0.95,1.37,0
20160320:0655,0.00,87.05,0.00,14.31,0.58,1.49,0
20160320:0755,249.45,125.06,0.00,23.71,4.15,1.09,0
20160320:0855,374.87,149.51,0.00,31.96,7.71,0.70,0
20160320:0955,470.69,164.32,0.00,38.35,11.28,0.30,0
20160320:1055,520.55,171.22,0.00,42.00,12.32,0.71,0
20160320:1155,523.00,171.57,0.00,42.22,13.37,1.12,0
20160320:1255,475.29,165.12,0.00,38.98,14.41,1.53,0
20160320:1355,382.27,150.96,0.00,32.89,14.22,1.75,0
20160320:1455,259.80,127.61,0.00,24.83,14.02,1.97,0
20160320:1555,127.42,91.36,0.00,15.55,13.83,2.19,0
20160320:1655,32.86,23.60,0.00,5.61,11.92,2.47,0
20160320:1755,0.00,0.00,0.00,0.00,10.00,2.75,0
20160320:1855,0.00,0.00,0.00,0.00,8.09,3.03,0
20160320:1955,0.00,0.00,0.00,0.00,6.85,2.61,0
20160320:2055,0.00,0.00,0.00,0.00,5.61,2.18,0
20160320:2155,0.00,0.00,0.00,0.00,4.37,1.75,0
20160320:2255,0.00,0.00,0.00,0.00,3.81,1.35,0
20160320:2355,0.00,0.00,0.00,0.00,3.24,0.94,0
20160321:0055,0.00,0.00,0.00,0.00,2.68,0.54,0
20160321:0155,0.00,0.00,0.00,0.00,2.34,0.52,0
20160321:0255,0.00,0.00,0.00,0.00,2.00,0.51,0
20160321:0355,0.00,0.00,0.00,0.00,1.66,0.50,0
20160321:0455,0.00,0.00,0.00,0.00,1.85,0.60,0
20160321:0555,0.00,30.45,0.00,4.67,2.05,0.70,0
20160321:0655,0.00,76.80,0.00,14.66,2.24,0.80,0
20160321:0755,12.75,173.70,0.00,24.07,3.94,0.88,0
20160321:0855,25.25,248.50,0.00,32.34,5.64,0.97,0
20160321:0955,76.41,320.56,0.00,38.74,7.34,1.05,0
20160321:1055,123.22,349.51,0.00,42.40,8.54,1.11,0
20160321:1155,46.21,336.10,0.00,42.61,9.74,1.18,0
20160321:1255,27.46,297.55,0.00,39.33,10.94,1.24,0
20160321:1355,9.05,225.40,0.00,33.20,10.92,1.68,0
20160321:1455,7.10,167.35,0.00,25.10,10.89,2.11,0
20160321:1555,0.95,82.80,0.00,15.80,10.87,2.55,0
20160321:1655,22.65,36.95,0.00,5.85,9.72,2.29,0
20160321:1755,0.00,0.00,0.00,0.00,8.58,2.04,0
20160321:1855,0.00,0.00,0.00,0.00,7.43,1.78,0
20160321:1955,0.00,0.00,0.00,0.00,6.15,1.82,0
20160321:2055,0.00,0.00,0.00,0.00,4.86,1.86,0
20160321:2155,0.00,0.00,0.00,0.00,3.57,1.90,0
20160321:2255,0.00,0.00,0.00,0.00,3.24,1.62,0
20160321:2355,0.00,0.00,0.00,0.00,2.91,1.33,0
20160322:0055,0.00,0.00,0.00,0.00,2.59,1.05,0
20160322:0155,0.00,0.00,0.00,0.00,2.33,0.94,0
20160322:0255,0.00,0.00,0.00,0.00,2.07,0.84,0
20160322:0355,0.00,0.00,0.00,0.00,1.82,0.73,0
20160322:0455,0.00,0.00,0.00,0.00,1.69,0.85,0
20160322:0555,0.00,32.95,0.00,5.01,1.57,0.97,0
20160322:0655,0.00,81.15,0.00,15.01,1.44,1.09,0
20160322:0755,12.05,175.95,0.00,24.43,3.42,1.33,0
20160322:0855,44.86,266.45,0.00,32.72,5.40,1.57,0
20160322:0955,107.82,326.76,0.00,39.14,7.38,1.81,0
20160322:1055,419.43,238.42,0.00,42.80,8.49,2.06,0
20160322:1155,404.52,248.02,0.00,42.99,9.61,2.31,0
20160322:1255,472.64,173.87,0.00,39.68,10.72,2.57,0
20160322:1355,379.22,160.86,0.00,33.51,10.68,2.83,0
20160322:1455,113.82,200.76,0.00,25.38,10.64,3.09,0
20160322:1555,31.51,124.05,0.00,16.05,10.60,3.35,0
20160322:1655,1.50,30.95,0.00,6.09,9.26,2.94,0
20160322:1755,0.00,0.00,0.00,0.00,7.93,2.53,0
20160322:1855,0.00,0.00,0.00,0.00,6.59,2.12,0
20160322:1955,0.00,0.00,0.00,0.00,5.46,1.91,0
20160322:2055,0.00,0.00,0.00,0.00,4.32,1.70,0
20160322:2155,0.00,0.00,0.00,0.00,3.18,1.49,0
20160322:2255,0.00,0.00,0.00,0.00,2.78,1.49,0
20160322:2355,0.00,0.00,0.00,0.00,2.38,1.50,0
20160323:0055,0.00,0.00,0.00,0.00,1.99,1.50,0
20160323:0155,0.00,0.00,0.00,0.00,1.69,1.71,0
20160323:0255,0.00,0.00,0.00,0.00,1.39,1.92,0
20160323:0355,0.00,0.00,0.00,0.00,1.09,2.12,0
20160323:0455,0.00,0.00,0.00,0.00,0.91,2.20,0
20160323:0555,0.00,33.95,0.00,5.36,0.73,2.27,0
20160323:0655,0.00,88.25,0.00,15.36,0.55,2.34,0
20160323:0755,6.65,165.40,0.00,24.80,2.47,2.84,0
20160323:0855,19.05,245.90,0.00,33.10,4.39,3.33,0
20160323:0955,0.00,146.70,0.00,39.54,6.31,3.82,0
20160323:1055,0.95,234.25,0.00,43.20,7.00,4.13,0
20160323:1155,6.40,275.60,0.00,43.38,7.68,4.45,0
20160323:1255,39.91,313.75,0.00,40.02,8.37,4.76,0
20160323:1355,104.97,279.36,0.00,33.81,8.38,4.63,0
20160323:1455,13.90,185.05,0.00,25.65,8.39,4.49,0
20160323:1555,0.00,35.45,0.00,16.30,8.40,4.36,0
20160323:1655,0.05,21.65,0.00,6.33,7.26,3.53,0
20160323:1755,0.00,0.00,0.00,0.00,6.13,2.69,0
20160323:1855,0.00,0.00,0.00,0.00,4.99,1.86,0
20160323:1955,0.00,0.00,0.00,0.00,3.85,2.06,0
20160323:2055,0.00,0.00,0.00,0.00,2.70,2.27,0
20160323:2155,0.00,0.00,0.00,0.00,1.55,2.47,0
20160323:2255,0.00,0.00,0.00,0.00,1.99,2.23,0
20160323:2355,0.00,0.00,0.00,0.00,2.43,1.99,0
20160324:0055,0.00,0.00,0.00,0.00,2.87,1.75,0
20160324:0155,0.00,0.00,0.00,0.00,2.70,1.74,0
20160324:0255,0.00,0.00,0.00,0.00,2.53,1.73,0
20160324:0355,0.00,0.00,0.00,0.00,2.36,1.72,0
20160324:0455,0.00,0.00,0.00,0.00,2.31,1.79,0
20160324:0555,0.00,18.80,0.00,5.70,2.26,1.85,0
20160324:0655,0.00,19.60,0.00,15.71,2.21,1.92,0
20160324:0755,0.00,77.20,0.00,25.16,3.49,2.18,0
20160324:0855,0.00,136.30,0.00,33.48,4.76,2.45,0
20160324:0955,41.61,317.55,0.00,39.94,6.04,2.72,0
20160324:1055,520.84,188.42,0.00,43.60,7.03,2.58,0
20160324:1155,201.94,346.81,0.00,43.76,8.02,2.44,0
20160324:1255,320.61,266.52,0.00,40.37,9.01,2.30,0
20160324:1355,388.87,162.51,0.00,34.12,9.22,2.44,0
20160324:1455,126.52,202.61,0.00,25.92,9.43,2.58,0
20160324:1555,28.60,127.75,0.00,16.55,9.64,2.72,0
20160324:1655,36.70,38.85,0.00,6.57,8.59,2.63,0
20160324:1755,0.00,0.00,0.00,0.00,7.54,2.53,0
20160324:1855,0.00,0.00,0.00,0.00,6.49,2.44,0
20160324:1955,0.00,0.00,0.00,0.00,5.81,1.89,0
20160324:2055,0.00,0.00,0.00,0.00,5.12,1.34,0
20160324:2155,0.00,0.00,0.00,0.00,4.43,0.79,0
20160324:2255,0.00,0.00,0.00,0.00,3.94,0.97,0
20160324:2355,0.00,0.00,0.00,0.00,3.45,1.15,0
20160325:0055,0.00,0.00,0.00,0.00,2.97,1.34,0
20160325:0155,0.00,0.00,0.00,0.00,3.35,1.32,0
20160325:0255,0.00,0.00,0.00,0.00,3.74,1.31,0
20160325:0355,0.00,0.00,0.00,0.00,4.13,1.30,0
20160325:0455,0.00,0.00,0.00,0.00,4.07,1.37,0
20160325:0555,0.00,14.40,0.00,6.04,4.02,1.44,0
20160325:0655,0.00,49.35,0.00,16.06,3.96,1.52,0
20160325:0755,1.80,145.00,0.00,25.52,5.28,1.55,0
20160325:0855,1.05,183.95,0.00,33.86,6.60,1.59,0
20160325:0955,122.37,326.41,0.00,40.33,7.92,1.63,0
20160325:1055,4.55,264.30,0.00,44.00,8.44,2.08,0
20160325:1155,0.00,162.60,0.00,44.14,8.95,2.53,0
20160325:1255,0.00,102.75,0.00,40.72,9.47,2.98,0
20160325:1355,0.00,93.70,0.00,34.42,8.73,2.72,0
20160325:1455,0.00,69.50,0.00,26.19,7.98,2.46,0
20160325:1555,0.00,9.05,0.00,16.80,7.24,2.19,0
20160325:1655,5.95,41.15,0.00,6.80,6.86,2.04,0
20160325:1755,0.00,0.00,0.00,0.00,6.49,1.88,0
20160325:1855,0.00,0.00,0.00,0.00,6.11,1.72,0
20160325:1955,0.00,0.00,0.00,0.00,5.57,1.77,0
20160325:2055,0.00,0.00,0.00,0.00,5.03,1.83,0
20160325:2155,0.00,0.00,0.00,0.00,4.49,1.88,0
20160325:2255,0.00,0.00,0.00,0.00,4.56,1.78,0
20160325:2355,0.00,0.00,0.00,0.00,4.62,1.69,0
20160326:0055,0.00,0.00,0.00,0.00,4.69,1.60,0
20160326:0155,0.00,0.00,0.00,0.00,4.61,1.50,0
20160326:0255,0.00,0.00,0.00,0.00,4.54,1.41,0
20160326:0355,0.00,0.00,0.00,0.00,4.47,1.31,0
20160326:0455,0.00,0.00,0.00,0.00,4.56,1.13,0
20160326:0555,0.00,26.40,0.00,6.38,4.65,0.94,0
20160326:0655,0.00,87.55,0.00,16.41,4.74,0.76,0
20160326:0755,36.01,206.30,0.00,25.88,6.20,0.65,0
20160326:0855,385.17,162.96,0.00,34.24,7.65,0.55,0
20160326:0955,494.99,167.77,0.00,40.73,9.11,0.44,0
20160326:1055,551.65,174.87,0.00,44.40,10.71,0.42,0
20160326:1155,552.60,174.97,0.00,44.52,12.31,0.40,0
20160326:1255,503.04,168.57,0.00,41.06,13.91,0.39,0
20160326:1355,411.97,155.26,0.00,34.73,14.63,0.54,0
20160326:1455,286.10,132.71,0.00,26.46,15.35,0.70,0
20160326:1555,148.72,98.06,0.00,17.04,16.07,0.86,0
20160326:1655,33.50,45.10,0.00,7.04,14.60,1.32,0
20160326:1755,0.00,0.00,0.00,0.00,13.13,1.79,0
20160326:1855,0.00,0.00,0.00,0.00,11.66,2.26,0
20160326:1955,0.00,0.00,0.00,0.00,10.31,2.31,0
20160326:2055,0.00,0.00,0.00,0.00,8.96,2.35,0
20160326:2155,0.00,0.00,0.00,0.00,7.61,2.40,0
20160326:2255,0.00,0.00,0.00,0.00,7.44,2.49,0
20160326:2355,0.00,0.00,0.00,0.00,7.27,2.58,0
20160327:0055,0.00,0.00,0.00,0.00,7.11,2.68,0
20160327:0155,0.00,0.00,0.00,0.00,7.03,2.79,0
20160327:0255,0.00,0.00,0.00,0.00,6.96,2.90,0
20160327:0355,0.00,0.00,0.00,0.00,6.89,3.01,0
20160327:0455,0.00,0.00,0.00,0.00,7.07,3.09,0
20160327:0555,0.00,42.35,0.00,6.73,7.26,3.18,0
20160327:0655,0.00,134.60,0.00,16.76,7.44,3.27,0
20160327:0755,3.35,160.90,0.00,26.24,9.10,2.97,0
20160327:0855,181.83,266.46,0.00,34.62,10.76,2.68,0
20160327:0955,403.52,224.52,0.00,41.12,12.42,2.39,0
20160327:1055,511.34,194.07,0.00,44.80,12.28,2.29,0
20160327:1155,210.39,343.56,0.00,44.90,12.15,2.18,0
20160327:1255,131.47,333.96,0.00,41.40,12.01,2.08,0
20160327:1355,213.19,251.26,0.00,35.03,11.97,1.94,0
20160327:1455,0.00,17.25,0.00,26.73,11.93,1.80,0
20160327:1555,0.00,48.05,0.00,17.29,11.89,1.66,0
20160327:1655,0.00,22.90,0.00,7.27,10.87,1.51,0
20160327:1755,0.00,0.00,0.00,0.00,9.84,1.37,0
20160327:1855,0.00,0.00,0.00,0.00,8.82,1.23,0
20160327:1955,0.00,0.00,0.00,0.00,7.79,0.90,0
20160327:2055,0.00,0.00,0.00,0.00,6.75,0.57,0
20160327:2155,0.00,0.00,0.00,0.00,5.71,0.25,0
20160327:2255,0.00,0.00,0.00,0.00,5.36,0.46,0
20160327:2355,0.00,0.00,0.00,0.00,5.01,0.66,0
20160328:0055,0.00,0.00,0.00,0.00,4.67,0.87,0
20160328:0155,0.00,0.00,0.00,0.00,4.30,1.20,0
20160328:0255,0.00,0.00,0.00,0.00,3.93,1.53,0
20160328:0355,0.00,0.00,0.00,0.00,3.56,1.86,0
20160328:0455,0.00,0.00,0.00,0.00,3.89,2.17,0
20160328:0555,0.00,45.85,0.00,7.07,4.23,2.48,0
20160328:0655,0.00,98.25,0.00,17.11,4.56,2.79,0
20160328:0755,262.04,143.26,0.00,26.60,6.77,3.10,0
20160328:0855,202.33,259.46,0.00,35.00,8.97,3.42,0
20160328:0955,0.45,212.95,0.00,41.52,11.18,3.74,0
20160328:1055,119.87,363.01,0.00,45.20,11.72,3.71,0
20160328:1155,162.78,357.41,0.00,45.28,12.25,3.68,0
20160328:1255,24.70,303.55,0.00,41.74,12.79,3.66,0
20160328:1355,3.70,214.40,0.00,35.33,13.45,3.90,0
20160328:1455,29.50,208.10,0.00,26.99,14.12,4.14,0
20160328:1555,50.51,134.75,0.00,17.53,14.78,4.39,0
20160328:1655,35.35,47.40,0.00,7.51,13.81,3.66,0
20160328:1755,0.00,0.00,0.00,0.00,12.85,2.93,0
20160328:1855,0.00,0.00,0.00,0.00,11.88,2.21,0
20160328:1955,0.00,0.00,0.00,0.00,10.93,2.23,0
20160328:2055,0.00,0.00,0.00,0.00,9.97,2.24,0
20160328:2155,0.00,0.00,0.00,0.00,9.01,2.26,0
20160328:2255,0.00,0.00,0.00,0.00,8.79,2.35,0
20160328:2355,0.00,0.00,0.00,0.00,8.56,2.45,0
20160329:0055,0.00,0.00,0.00,0.00,8.34,2.54,0
20160329:0155,0.00,0.00,0.00,0.00,8.17,2.45,0
20160329:0255,0.00,0.00,0.00,0.00,8.00,2.35,0
20160329:0355,0.00,0.00,0.00,0.00,7.84,2.26,0
20160329:0455,0.00,0.00,0.00,0.00,7.33,2.29,0
20160329:0555,0.00,3.45,0.00,7.41,6.82,2.31,0
20160329:0655,0.00,103.80,0.00,17.45,6.31,2.33,0
20160329:0755,155.32,201.36,0.00,26.96,7.78,2.86,0
20160329:0855,401.37,165.56,0.00,35.38,9.24,3.38,0
20160329:0955,502.78,174.97,0.00,41.91,10.71,3.90,0
20160329:1055,558.34,177.27,0.00,45.60,12.04,4.51,0
20160329:1155,558.49,177.27,0.00,45.66,13.38,5.11,0
20160329:1255,501.88,174.97,0.00,42.08,14.71,5.71,0
20160329:1355,121.02,288.71,0.00,35.62,14.53,4.81,0
20160329:1455,222.13,170.46,0.00,27.26,14.34,3.91,0
20160329:1555,100.76,124.15,0.00,17.77,14.16,3.01,0
20160329:1655,0.50,33.30,0.00,7.74,13.24,2.57,0
20160329:1755,0.00,0.00,0.00,0.00,12.31,2.12,0
20160329:1855,0.00,0.00,0.00,0.00,11.39,1.68,0
20160329:1955,0.00,0.00,0.00,0.00,10.42,1.66,0
20160329:2055,0.00,0.00,0.00,0.00,9.44,1.63,0
20160329:2155,0.00,0.00,0.00,0.00,8.46,1.60,0
20160329:2255,0.00,0.00,0.00,0.00,8.52,1.67,0
20160329:2355,0.00,0.00,0.00,0.00,8.58,1.74,0
20160330:0055,0.00,0.00,0.00,0.00,8.65,1.81,0
20160330:0155,0.00,0.00,0.00,0.00,8.59,1.94,0
20160330:0255,0.00,0.00,0.00,0.00,8.53,2.07,0
20160330:0355,0.00,0.00,0.00,0.00,8.48,2.21,0
20160330:0455,0.00,0.00,0.00,0.00,8.49,2.19,0
20160330:0555,0.00,50.60,0.00,7.75,8.51,2.17,0
20160330:0655,9.20,119.70,0.00,17.80,8.52,2.15,0
20160330:0755,1.80,154.00,0.00,27.32,10.06,2.61,0
20160330:0855,0.00,149.10,0.00,35.75,11.60,3.07,0
20160330:0955,0.15,203.90,0.00,42.30,13.14,3.53,0
20160330:1055,302.60,313.37,0.00,46.00,14.08,3.63,0
20160330:1155,108.42,367.66,0.00,46.04,15.02,3.72,0
20160330:1255,487.53,179.42,0.00,42.42,15.96,3.82,0
20160330:1355,393.81,165.81,0.00,35.92,15.80,3.52,0
20160330:1455,115.92,212.16,0.00,27.52,15.63,3.21,0
20160330:1555,127.72,112.35,0.00,18.01,15.47,2.91,0
20160330:1655,37.20,49.65,0.00,7.97,14.61,2.54,0
20160330:1755,0.00,0.00,0.00,0.00,13.74,2.17,0
20160330:1855,0.00,0.00,0.00,0.00,12.88,1.81,0
20160330:1955,0.00,0.00,0.00,0.00,12.04,1.99,0
20160330:2055,0.00,0.00,0.00,0.00,11.20,2.17,0
20160330:2155,0.00,0.00,0.00,0.00,10.36,2.34,0
20160330:2255,0.00,0.00,0.00,0.00,10.02,2.52,0
20160330:2355,0.00,0.00,0.00,0.00,9.68,2.69,0
20160331:0055,0.00,0.00,0.00,0.00,9.34,2.87,0
20160331:0155,0.00,0.00,0.00,0.00,9.53,2.92,0
20160331:0255,0.00,0.00,0.00,0.00,9.72,2.98,0
20160331:0355,0.00,0.00,0.00,0.00,9.91,3.03,0
20160331:0455,0.00,0.00,0.00,0.00,9.65,3.24,0
20160331:0555,0.00,52.60,0.00,8.09,9.40,3.45,0
20160331:0655,159.87,102.20,0.00,18.14,9.14,3.66,0
20160331:0755,298.59,135.66,0.00,27.68,11.30,4.00,0
20160331:0855,407.96,166.96,0.00,36.12,13.45,4.35,0
20160331:0955,250.79,311.96,0.00,42.69,15.61,4.70,0
